city,lat,lon,precip,class,pop,damage,cost
Mumbai,18.987807,72.836447,173.00000000000000,1,20411000,353110.3,176555150
Delhi,28.651952,77.231495,5.700000000000000,0,10928270,6229.11,3114555
Kolkata,22.562627,88.363044,25.62,0,14850000,38045.7,19022850
Chennai,13.084622,80.248357,146.00000000000000,1,10971108,160178.18,80089090
Bengaluru,12.977063,77.587106,3.6000000000000000,0,12327000,4437.72,2218860
Hyderabad,17.384052,78.456355,7.400000000000000,0,3598199,2662.67,1331335
Ahmadabad,23.025793,72.587265,6.7,0,3719933,2492.36,1246180
Haora,22.576882,88.318566,4.0,0,1027771,411.11,205555
Pune,18.513271,73.849852,6.8,0,2935968,1996.46,998230
Surat,21.195944,72.830232,10.7,0,2894675,3097.3,1548650
Mardanpur,26.430066,80.267176,106.00000000000000,1,2451,25.98,12990
Rampura,26.884682,75.789336,7.4000000000000000,0,45642,33.78,16890
Lucknow,26.839281,80.923133,11.000000000000000,0,3677000,4044.7,2022350
Nara,21.203096,79.089284,7.1000000000000000,0,97205,69.02,34510
Patna,25.615379,85.101027,6.000000000000000,0,1600085,960.05,480025
Indore,22.717736,75.85859,8.400000000000000,0,1837230,1543.27,771635
Vadodara,22.299405,73.208119,6.5,0,1409565,916.22,458110
Bhopal,23.254688,77.402892,7.800000000000000,0,1600080,1248.06,624030
Coimbatore,11.005547,76.966122,0.8,0,2786600,222.93,111465
Ludhiana,30.912042,75.853789,6.300000000000000,0,1545476,973.65,486825
Agra,27.187935,78.003944,6.7,0,1430194,958.23,479115
Kalyan,19.243703,73.135537,24.2,0,1262355,3054.9,1527450
Vishakhapatnam,17.704052,83.297663,3.2,0,2175000,696.0,348000
Kochi,9.947743,76.253802,177.00000000000000,1,604751,10704.09,5352045
Nasik,19.999963,73.776887,4.0,0,2066000,826.4,413200
Meerut,28.980018,77.706356,8.300000000000000,0,1696000,1407.68,703840
Faridabad,28.411236,77.313162,7.000000000000000,0,1280909,896.64,448320
Varanasi,25.31774,83.005811,10.4,0,1164520,1211.1,605550
Ghaziabad,28.665353,77.439148,8.0,0,1199306,959.44,479720
Asansol,23.683333,86.983333,9.2,0,504320,463.97,231985
Jamshedpur,22.802776,86.185448,5.700000000000000,0,616404,351.35,175675
Madurai,9.917347,78.119622,0.9,0,909988,81.9,40950
Jabalpur,23.174495,79.935903,8.4,0,1030276,865.43,432715
Rajkot,22.291606,70.793217,10.8,0,1177434,1271.63,635815
Dhanbad,23.801988,86.443244,9.1,0,219660,199.89,99945
Amritsar,31.622337,74.875335,3.0,0,1092528,327.76,163880
Warangal,17.978423,79.600209,8.2,0,557864,457.45,228725
Allahabad,25.44478,81.843217,101.00000000000000,1,1073544,10842.79,5421395
Srinagar,34.085652,74.805553,5.9000000000000000,0,975926,575.8,287900
Aurangabad,19.880943,75.346739,5.4000000000000000,0,1016520,548.92,274460
Bhilai,21.209188,81.428497,6.4000000000000000,0,625203,400.13,200065
Solapur,17.671523,75.910437,7.400000000000000,0,1031000,762.94,381470
Ranchi,23.347768,85.338564,11.100000000000000,0,945079,1049.04,524520
Jodhpur,26.26841,73.005943,3.4000000000000000,0,921540,313.32,156660
Guwahati,26.176076,91.762932,6.1,0,899132,548.47,274235
Chandigarh,30.736292,76.788398,6.500000000000000,0,914374,594.34,297170
Gwalior,26.229825,78.173369,8.5,0,882551,750.17,375085
Thiruvananthapuram,8.485498,76.949238,135.00000000000000,1,784223,10587.01,5293505
Tiruchchirappalli,10.815499,78.696513,0.5,0,775551,38.78,19390
Hubli,15.349955,75.138619,5.700000000000000,0,840285,478.96,239480
Mysore,12.292664,76.638543,3.4000000000000000,0,1210000,411.4,205700
Raipur,21.233333,81.633333,6.6,0,680066,448.84,224420
Salem,11.651165,78.158672,5.600000000000000,0,20111,11.26,5630
Bhubaneshwar,20.272411,85.833853,3.8,0,1163000,441.94,220970
Kota,25.182544,75.839065,6.6,0,763141,503.67,251835
Jhansi,25.458872,78.579943,8.600000000000000,0,412968,355.15,177575
Bareilly,28.347023,79.421934,10.900000000000000,0,1255000,1367.95,683975
Aligarh,27.881453,78.07464,7.700000000000000,0,753280,580.03,290015
Bhiwandi,19.300229,73.058813,20.7,0,707090,1463.68,731840
Jammu,32.735686,74.869112,7.5,0,465600,349.2,174600
Moradabad,28.838931,78.776838,8.5,0,721210,613.03,306515
Mangalore,12.865371,74.842432,24.4,0,713000,1739.72,869860
Kolhapur,16.695633,74.231669,5.500000000000000,0,516184,283.9,141950
Amravati,20.933272,77.75152,7.500000000000000,0,603885,452.91,226455
Dehra Dun,30.324427,78.033922,10.500000000000000,0,522135,548.24,274120
Malegaon Camp,20.569974,74.515415,4.5,0,716000,322.2,161100
Nellore,14.449918,79.986967,3.0000000000000000,0,751000,225.3,112650
Gopalpur,26.735389,83.38064,8.2,0,7163,5.87,2935
Shimoga,13.932424,75.572555,8.000000000000000,0,319577,255.66,127830
Tiruppur,11.104096,77.346402,0.30000000000000000,0,397554,11.93,5965
Raurkela,22.224964,84.864143,8.3,0,226886,188.32,94160
Nanded,19.160227,77.314971,6.3,0,485150,305.64,152820
Belgaum,15.862643,74.508534,7.1000000000000000,0,428756,304.42,152210
Sangli,16.856777,74.569196,5.5,0,583629,321.0,160500
Chanda,19.950758,79.295229,6.1000000000000000,0,180640,110.19,55095
Ajmer,26.452103,74.638667,5.700000000000000,0,517947,295.23,147615
Cuttack,20.522922,85.78813,4.1,0,742000,304.22,152110
Bikaner,28.017623,73.314955,2.7,0,576056,155.54,77770
Bhavnagar,21.774455,72.152496,6.8,0,555014,377.41,188705
Hisar,29.153938,75.722944,6.1000000000000000,0,296456,180.84,90420
Bilaspur,22.080046,82.155431,7.6,0,282736,214.88,107440
Tirunelveli,8.725181,77.684519,0.0,0,435882,0.0,0
Guntur,16.299737,80.457293,8.400000000000000,0,530636,445.73,222865
Shiliguri,26.710035,88.428512,150.00000000000000,1,515623,7734.35,3867175
Ujjain,23.182387,75.776433,112.2,1,457395,5131.97,2565985
Davangere,14.469237,75.92375,8.2,0,511843,419.71,209855
Akola,20.709569,76.998103,6.500000000000000,0,428892,278.78,139390
Saharanpur,29.967896,77.545221,8.9,0,484921,431.58,215790
Gulbarga,17.335827,76.83757,6.9,0,483655,333.72,166860
Bhatpara,22.866431,88.401129,3.7,0,483175,178.77,89385
Dhulia,20.901299,74.777373,5.6000000000000000,0,77078,43.16,21580
Udaipur,24.57951,73.690508,10.300000000000000,0,30266,31.17,15585
Bellary,15.142049,76.92398,3.2000000000000000,0,336710,107.75,53875
Tuticorin,8.805038,78.151884,0.0,0,561000,0.0,0
Kurnool,15.828865,78.036021,4.300000000000000,0,665000,285.95,142975
Gaya,24.796858,85.003852,7.500000000000000,0,423737,317.8,158900
Sikar,27.614778,75.138671,4.0,0,199946,79.98,39990
Tumkur,13.341358,77.102203,4.500000000000000,0,307384,138.32,69160
Kollam,8.881131,76.584694,14.4,0,394198,567.65,283825
Ahmadnagar,19.094571,74.738432,4.5,0,367168,165.23,82615
Bhilwara,25.347071,74.640812,7.5,0,326454,244.84,122420
Nizamabad,18.673151,78.10008,6.000000000000000,0,305472,183.28,91640
Parbhani,19.268553,76.770807,5.600000000000000,0,289652,162.21,81105
Shillong,25.573987,91.896807,10.2,0,132853,135.51,67755
Latur,18.399487,76.584252,7.1,0,348994,247.79,123895
Rajapalaiyam,9.451111,77.556121,0.4,0,124179,4.97,2485
Bhagalpur,25.244462,86.971832,8.700000000000000,0,361587,314.58,157290
Muzaffarnagar,29.470914,77.703324,7.000000000000000,0,349741,244.82,122410
Muzaffarpur,26.122593,85.390553,6.9,0,333235,229.93,114965
Mathura,27.503501,77.672145,7.2,0,330543,237.99,118995
Patiala,30.336245,76.392199,8.1,0,329248,266.69,133345
Saugor,23.838766,78.738738,14.1,0,370000,521.7,260850
Brahmapur,19.311514,84.792903,4.700000000000000,0,324753,152.63,76315
Shahbazpur,27.874116,79.879327,9.4,0,987,0.93,465
New Delhi,28.6,77.2,7.000000000000000,0,10928270,7649.79,3824895
Rohtak,28.894473,76.589166,4.300000000000000,0,317266,136.42,68210
Samlaipadar,21.478072,83.990505,9.4,0,1330,1.25,625
Ratlam,23.330331,75.040315,9.200000000000000,0,236868,217.92,108960
Firozabad,27.150917,78.397808,6.7,0,306439,205.31,102655
Rajahmundry,17.005171,81.777839,8.0,0,476873,381.5,190750
Barddhaman,23.255716,87.856906,8.0,0,301754,241.4,120700
Bidar,17.913309,77.530105,7.000000000000000,0,204088,142.86,71430
Bamanpuri,28.804495,79.040305,9.1,0,1428,1.3,650
Kakinada,16.960361,82.238086,3.500000000000000,0,292956,102.53,51265
Panipat,29.387471,76.968246,6.600000000000000,0,292828,193.27,96635
Khammam,17.247672,80.143682,9.300000000000000,0,170522,158.59,79295
Bhuj,23.253972,69.669281,3.9000000000000000,0,133458,52.05,26025
Karimnagar,18.436738,79.13222,8.1,0,228770,185.3,92650
Tirupati,13.635505,79.419888,2.2,0,250849,55.19,27595
Hospet,15.269537,76.387103,4.000000000000000,0,197862,79.14,39570
Chikka Mandya,12.545602,76.895078,3.6000000000000000,0,9619,3.46,1730
Alwar,27.566291,76.610202,6.800000000000000,0,283248,192.61,96305
Aizawl,23.736701,92.714596,9.200000000000000,0,265353,244.12,122060
Bijapur,16.827715,75.718988,5.300000000000000,0,271087,143.68,71840
Imphal,24.808053,93.944203,6.2,0,223537,138.59,69295
Tharati Etawah,26.758236,79.014875,7.6,0,256838,195.2,97600
Raichur,16.205459,77.35567,5.1000000000000000,0,225981,115.25,57625
Pathankot,32.274842,75.652865,9.200000000000000,0,174319,160.37,80185
Chirala,15.823849,80.352187,3.3000000000000000,0,87011,28.71,14355
Sonipat,28.994778,77.019375,6.0,0,250538,150.32,75160
Mirzapur,25.144902,82.565335,10.800000000000000,0,220051,237.66,118830
Hapur,28.729845,77.780681,9.7,0,242944,235.66,117830
Porbandar,21.641346,69.600868,9.700000000000000,0,138881,134.71,67355
Bharatpur,27.215251,77.492786,7.400000000000000,0,229400,169.76,84880
Puducherry,11.933812,79.829792,2.0000000000000000,0,242000,48.4,24200
Karnal,29.691971,76.984483,5.9000000000000000,0,225064,132.79,66395
Nagercoil,8.177313,77.43437,3.5000000000000000,0,213877,74.86,37430
Thanjavur,10.785233,79.139093,0.8000000000000000,0,219591,17.57,8785
Pali,25.775125,73.320611,9.300000000000000,0,210117,195.41,97705
Agartala,23.836049,91.279386,5.1,0,203292,103.68,51840
Ongole,15.503565,80.044541,2.4000000000000000,0,172891,41.49,20745
Puri,19.798254,85.824938,6.6,0,170856,112.76,56380
Dindigul,10.362853,77.975827,1.1,0,200814,22.09,11045
Haldia,22.025278,88.058333,3.900000000000000,0,207466,80.91,40455
Bulandshahr,28.403922,77.857731,9.800000000000000,0,198631,194.66,97330
Purnea,25.776703,87.473655,6.700000000000000,0,3260000,2184.2,1092100
Proddatur,14.7502,78.548129,1.9000000000000000,0,177816,33.79,16895
Gurgaon,28.460105,77.026352,4.800000000000000,0,197353,94.73,47365
Khanapur,21.273716,76.117376,7.000000000000000,0,17217,12.05,6025
Machilipatnam,16.187466,81.13888,6.200000000000000,0,192848,119.57,59785
Bhiwani,28.793044,76.13968,4.6000000000000000,0,190868,87.8,43900
Nandyal,15.477994,78.483605,10.2,0,165355,168.66,84330
Bhusaval,21.043649,75.785058,4.800000000000000,0,187000,89.76,44880
Bharauri,27.598203,81.694709,8.000000000000000,0,1245,1.0,500
Tonk,26.168672,75.786111,126.00000000000000,1,151341,1906.9,953450
Sirsa,29.534893,75.028981,5.9000000000000000,0,181652,107.17,53585
Vizianagaram,18.11329,83.397743,3.4000000000000000,0,179379,60.99,30495
Vellore,12.905769,79.137104,3.0000000000000000,0,187000,56.1,28050
Alappuzha,9.494647,76.331108,15.300000000000000,0,176799,270.5,135250
Shimla,31.104423,77.166623,8.700000000000000,0,173517,150.96,75480
Hindupur,13.828065,77.491425,5.200000000000000,0,133313,69.32,34660
Baramula,34.209004,74.342853,5.0,0,77282,38.64,19320
Bakshpur,25.894283,80.792104,11.100000000000000,0,1770,1.96,980
Dibrugarh,27.479888,94.90837,5.9,0,122160,72.07,36035
Saidapur,27.598784,80.75089,9.300000000000000,0,5432,5.05,2525
Navsari,20.85,72.916667,14.9,0,136204,202.94,101470
Budaun,28.038114,79.126677,10.2,0,161571,164.8,82400
Cuddalore,11.746289,79.764362,2.2,0,174000,38.28,19140
Haripur,31.463218,75.986418,6.900000000000000,0,7327,5.06,2530
Krishnapuram,12.869617,79.719469,3.1,0,25927,8.04,4019
Fyzabad,26.775486,82.150182,8.8,0,558000,491.04,245520
Silchar,24.827327,92.797868,8.6,0,152399,131.06,65530
Ambala,30.360993,76.797819,7.100000000000000,0,146797,104.23,52115
Krishnanagar,23.405761,88.490733,7.700000000000000,0,145941,112.37,56185
Kolar,13.137679,78.129989,4.1000000000000000,0,126452,51.85,25925
Kumbakonam,10.959789,79.377472,0.8,0,139276,11.14,5570
Tiruvannamalai,12.230204,79.072954,1.3000000000000000,0,138255,17.97,8985
Pilibhit,28.631245,79.804362,10.900000000000000,0,131021,142.81,71405
Abohar,30.144533,74.19552,5.1,0,130613,66.61,33305
Port Blair,11.666667,92.75,12.7,0,112062,142.32,71160
Alipur Duar,26.4835,89.522855,15.300000000000000,0,75936,116.18,58090
Hatisa,27.592698,78.013843,6.4000000000000000,0,18387,11.77,5885
Valparai,10.325163,76.955299,12.500000000000000,0,90361,112.95,56475
Aurangabad,24.752037,84.374202,10.8,0,1016520,1097.84,548920
Kohima,25.674673,94.110988,10.7,0,92117,98.57,49285
Gangtok,27.325739,88.612155,13.400000000000000,0,30702,41.14,20570
Karur,10.960277,78.076753,0.6,0,76922,4.62,2310
Jorhat,26.757509,94.203055,5.4,0,69036,37.28,18640
Panaji,15.498289,73.824541,266.0,1,65593,1744.77,872385
Saidpur,34.318174,74.457093,3.0000000000000000,0,14498,4.35,2175
Tezpur,26.633333,92.8,8.800000000000000,0,58854,51.79,25895
Itanagar,27.102349,93.692047,76.00000000000000,1,44995,341.96,170980
Daman,20.414315,72.83236,13.800000000000000,0,39741,54.84,27420
Silvassa,20.273855,72.996728,14.600000000000000,0,27359,39.94,19970
Diu,20.715115,70.987952,9.1,0,23790,21.65,10825
Dispur,26.135638,91.800688,322.29,1,8282,266.92,133460
Kavaratti,10.566667,72.616667,82.0,0,10689,87.65,43825
Calicut,11.248016,75.780402,23.4,0,609000,1425.06,712530
Kagaznagar,19.331589,79.466051,6.6,0,60163,39.71,19855
Jaipur,26.913312,75.787872,7.4000000000000000,0,2711937,2006.83,1003415
Ghandinagar,23.216667,72.683333,8.400000000000000,0,292000,245.28,122640
Panchkula,30.691512,76.853736,6.500000000000000,0,211000,137.15,68575